69700d51-4516-489b-8932-d05a6b369f73 	 [2026-04-11 16:26:15] 	 GET request to /.well-known/appspecific/com.chrome.devtools.json
830f66ba-2c5a-405a-9848-b44844e90579 	 [2026-04-11 16:26:15] 	 GET request to /assets/logo.png
0a4d2222-d669-485e-adc9-d69a3becaae2 	 [2026-04-11 16:26:16] 	 GET request to /favicon.ico
c636bacd-d8f6-422b-96bf-4aa6429b3b45 	 [2026-04-11 16:26:18] 	 GET request to /cause-error.
92c8d21c-4fbf-4707-a910-9c87cfbe521d 	 [2026-04-11 16:26:18] 	 GET request to /.well-known/appspecific/com.chrome.devtools.json
0b9bfaa1-9ac5-4614-873b-2dafb50f6504 	 [2026-04-11 16:26:18] 	 GET request to /favicon.ico
af0c44c9-997a-41c5-a167-2d7e12cc00fe 	 [2026-04-11 16:26:32] 	 GET request to /cause-error.
0fb9348f-dcd0-495b-bfa0-73004be7ae9f 	 [2026-04-11 16:26:32] 	 GET request to /favicon.ico
04fbf1dc-db46-4940-8996-6616cc51ad01 	 [2026-04-11 16:26:35] 	 GET request to /.well-known/appspecific/com.chrome.devtools.json
e6335e8c-7961-4901-aa20-36caeacc67e0 	 [2026-04-11 16:26:41] 	 GET request to /
893bd492-e3bc-4f2f-b8b9-a912a47769e1 	 [2026-04-11 16:26:41] 	 GET request to /assets/logo.png
924b6627-0ec2-4b32-9502-ca8b2430963f 	 [2026-04-11 16:26:41] 	 GET request to /.well-known/appspecific/com.chrome.devtools.json
7635695b-b033-42fc-be26-0fb871736e95 	 [2026-04-11 16:26:41] 	 GET request to /favicon.ico
2851fa5c-7012-458d-bfed-c2e7cd85267a 	 [2026-04-11 16:29:16] 	 GET request to /
f4d1c750-487f-4a67-8564-c87ab7b460be 	 [2026-04-11 16:29:16] 	 GET request to /.well-known/appspecific/com.chrome.devtools.json
00e8a776-abd1-480e-b167-1d03d7b38b39 	 [2026-04-11 16:29:17] 	 GET request to /favicon.ico
62140876-5953-41f5-9d24-2acda3ee8208 	 [2026-04-11 16:30:36] 	 GET request to /
9cb6f1c1-2d82-408c-b485-5d67bce8551a 	 [2026-04-11 16:30:37] 	 GET request to /.well-known/appspecific/com.chrome.devtools.json
12c74911-a21c-4290-b11d-4a0ab3a50ff3 	 [2026-04-11 16:30:37] 	 GET request to /favicon.ico
345b6887-c4b6-481a-b265-24ce6dadb32d 	 [2026-04-11 16:32:03] 	 GET request to /cause-erro
59ecbbf7-f35d-4319-8fe1-f2f3d1ab7a69 	 [2026-04-11 16:32:03] 	 GET request to /.well-known/appspecific/com.chrome.devtools.json
3029dbcb-ad37-4e4c-9a8c-a8b9733cc423 	 [2026-04-11 16:32:03] 	 GET request to /favicon.ico
bc9d9c41-50e3-41a4-b89c-6ca72a111430 	 [2026-04-11 16:32:06] 	 GET request to /cause-error
